What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you work in?,Which best describes the size of your company?,Which of the following best describes your occupation?,How likely is it that a recommendation you make will be acted upon?,What is your involvement in purchasing? You can choose more than 1.,What types of purchases are you involved in?,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2011?",What type of project are you developing?,Which languages are you proficient in?,What operating system do you use the most?,Please rate your job/career satisfaction,"Including bonus, what is your annual compensation in USD?",Which technology products do you own? (You can choose more than one),"In the last 12 months, how much money have you spent on personal technology-related purchases? ",Which of our sites do you frequent most?
United States of America,Ohio,40-50,11,Healthcare,Mature Small Business (25-100),Desktop Application Developer,It's been known to happen,"Influencer, Recommender, Purchaser","Hardware, Software, Other","<$10,000",Other,"nan, C#, VB.NET, VB6",Windows 7,I'm not happy in my job,"$60,000 - $80,000","nan, Android","$501-$1,000",Stack Overflow
United Kingdom,,20-24,41435,Software Products,Mature Small Business (25-100),Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Purchaser","nan, Software","nan, $100,001 - $150,000",Other,"Java, JavaScript, CSS, Python, Ruby, SQL, C#, C++, C, Scheme, VB.Net, VB, VBA, VBScript, PowerShell, F#",Windows 7,So happy it hurts,"$60,000 - $80,000","nan, Android, HDTV, Other gaming system","$1,001-$2,000",Stack Overflow
Other Asia,,30-34,41435,Other,"Other (not working, consultant, etc.)",Embedded Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,"nan, SQL, C#",Windows XP,It pays the bills,"$60,000 - $80,000","nan, Regular Mobile Phone","$501-$1,000",Stack Overflow
Canada,,25-29,41435,Consulting,Start Up (1-25),Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,"nan, JavaScript, CSS, SQL, C#",Windows XP,I enjoy going to work,"$40,000 - $60,000","nan, Regular Mobile Phone, iPad, Other netbook, Wii","$1,001-$2,000",Stack Overflow
United States of America,North Carolina,25-29,11,Manufacturing,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, >$150,000",Web Platform,"nan, JavaScript, CSS, SQL, C#",Windows XP,I enjoy going to work,"$80,000 - $100,000","iPhone, Blackberry, Blu-Ray, HDTV, Other netbook, Xbox",">$3,000",Stack Overflow
Other Asia,,20-24,11,Software Products,Start Up (1-25),Manager of Developers or Team Leader,I run this place,"Influencer, Recommender, Purchaser, I'm a Seller","nan, Software, User Equipment: Monitors, PCs, Laptops, Consultants","<$10,000, Don't know",Web Platform,"nan, JavaScript, C#",Windows 7,I enjoy going to work,"<$20,000","nan, Android, Regular Mobile Phone, Other netbook, old Windows Phone and also WP7 ones","$1,001-$2,000",Stack Overflow
Russia,,25-29,41310,Software Products,,,,nan,nan,nan,,nan,,,,nan,,
Other Europe,,30-34,41435,Web Services,Start Up (1-25),Web Application Developer,It's been known to happen,"nan, Recommender","nan, User Equipment: Monitors, PCs, Laptops","<$10,000",SaaS,"nan, SQL, C#",Windows 7,I'm not happy in my job,"$20,000 - $40,000","nan, Regular Mobile Phone",$100-$250,Stack Overflow
South America,,35-39,11,Software Products,Start Up (1-25),Web Application Developer,It's been known to happen,Influencer,"nan, Software","nan, Don't know",Web Platform,"nan, JavaScript, CSS, Python, SQL, C++",Linux,I enjoy going to work,"$80,000 - $100,000","iPhone, HDTV, iPad","$2,001-$3,000",Stack Overflow
United States of America,Massachusetts,35-39,11,Web Services,Mature Small Business (25-100),Manager of Developers or Team Leader,Unless it's stoopid it gets done,Influencer,"Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",SaaS,"nan, JavaScript, CSS, SQL, C#",Windows 7,So happy it hurts,">$140,000","nan, Other Smart Phone, Blu-Ray, HDTV, Xbox","$1,001-$2,000",Stack Overflow
United States of America,Texas,40-50,11,Healthcare,Mature Small Business (25-100),Manager of Developers or Team Leader,It's been known to happen,"Influencer, Recommender, Approver","nan, Software","nan, Don't know",Web Platform,"nan, JavaScript, CSS, SQL, C#",Windows XP,It pays the bills,,iPhone,"$501-$1,000",Stack Overflow
United States of America,New York,25-29,41435,Finance / Banking,"Fortune 1000 (1,000+)",Server Programmer,It's been known to happen,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Other,"Java, Scala",Windows XP,I enjoy going to work,">$140,000","nan, Android, HDTV, Other netbook, Wii",">$3,000",Stack Overflow
United States of America,Arizona,35-39,11,Manufacturing,"Fortune 1000 (1,000+)",Web Application Developer,Unless it's stoopid it gets done,"Influencer, Purchaser","nan, Software","<$10,000",Enterprise,"nan, Ruby, C#",Windows 7,It pays the bills,"$100,000 - $120,000","iPhone, Blu-Ray, HDTV, AppleTV, iPad",">$3,000",Stack Overflow
United States of America,California,25-29,41435,Other,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software","nan, Don't know",Web Platform,"nan, JavaScript, C#, C++, C",Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Android, Regular Mobile Phone, Blu-Ray, HDTV, Other netbook, Wii","$1,001-$2,000",Stack Overflow
Other Europe,,25-29,41435,Finance / Banking,"Fortune 1000 (1,000+)",Server Programmer,Once in a blue moon,"nan, No Involvement",nan,nan,Enterprise,"Java, JavaScript, SQL",Linux,It pays the bills,"$40,000 - $60,000","nan, Other Smart Phone, HDTV, PS3",$251-$500,Stack Overflow
United Kingdom,,20-24,41435,Education,Student,Student,It's been known to happen,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Other,"nan, Python, Ruby, SQL, C, IDL, MatLab, NumPy",Mac OS X,I enjoy going to work,"<$20,000","nan, Android, Regular Mobile Phone, iPod touch",$100-$250,Stack Overflow
Other Europe,,20-24,41310,Consulting,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Enterprise,"Java, JavaScript, CSS, SQL, C#",Mac OS X,So happy it hurts,"$80,000 - $100,000","iPhone, HDTV, iPad, Wii",">$3,000",Stack Overflow
Other Asia,,25-29,41435,Web Services,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,Influencer,"Hardware, Servers, Software","nan, Don't know",SaaS,"Java, CSS, SQL, C#, C++, C",Windows 7,I enjoy going to work,"$80,000 - $100,000","nan, Other Smart Phone, Wii",$251-$500,Stack Overflow
Italy,,25-29,41435,Education,Student,Student,It's been known to happen,"nan, No Involvement",nan,nan,Other,"Java, PHP, Python, C++, C",Mac OS X,I enjoy going to work,Student / Unemployed,"nan, Android, Blu-Ray, Other netbook","$1,001-$2,000",Stack Overflow
Canada,,35-39,11,Other,Mid Sized (100-999),Systems Analyst,It's been known to happen,"Influencer, Recommender, No Involvement","Hardware, Servers, Software, Consultants, Other","nan, $100,001 - $150,000",Web Platform,"nan, SQL, C, VB.",Windows XP,I enjoy going to work,,"nan, Blu-Ray, Wii, Other gaming system, iPod Touch",$251-$500,Stack Overflow
United States of America,Illinois,30-34,11,Education,"Other (not working, consultant, etc.)",Other,I run this place,"Influencer, Recommender, Approver, Purchaser, Check Writer","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Other,"nan, JavaScript, CSS, PHP, Python, C, Objective-C",Mac OS X,It pays the bills,"$40,000 - $60,000","nan, Blackberry, Regular Mobile Phone, Kindle, Blu-Ray, Other netbook","$1,001-$2,000",Other
Other Europe,,40-50,11,Consulting,"Fortune 1000 (1,000+)",IT Staff / System Administrator,It's been known to happen,"nan, No Involvement",nan,nan,Web Platform,"nan, PHP, SQL, C#, C, Perl",Linux,I enjoy going to work,"$40,000 - $60,000","iPhone, Regular Mobile Phone, HDTV, Other netbook",$100-$250,Super User
Other Europe,,20-24,41310,Education,Student,Student,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Other,"Java, Python, C",Linux,I enjoy going to work,Student / Unemployed,"nan, Regular Mobile Phone, Other netbook",$251-$500,Stack Overflow
United States of America,Washington,25-29,11,Consulting,"Other (not working, consultant, etc.)",Server Programmer,I run this place,"Influencer, Recommender, Purchaser, Check Writer","nan, Software","<$10,000",Other,"nan, JavaScript, CSS, SQL, C#, Perl",Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Android, Kindle, Blu-Ray, HDTV, Xbox","$1,001-$2,000",Stack Overflow
Australia,,25-29,41435,Other,Mid Sized (100-999),Desktop Application Developer,It's been known to happen,Influencer,"nan, Software","nan, Don't know",Enterprise,"nan, JavaScript, CSS, PHP, Python, SQL",Linux,I enjoy going to work,"$100,000 - $120,000",iPhone,<$100,Stack Overflow
United States of America,Pennsylvania,51-60,11,Software Products,Mid Sized (100-999),Server Programmer,It's been known to happen,"nan, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,"nan, SQL, C#",Windows XP,I'm not happy in my job,"$100,000 - $120,000","nan, Android, Other Smart Phone, Xbox","$501-$1,000",
France,,20-24,<2,Other,"Fortune 1000 (1,000+)",Desktop Application Developer,Not in a million years,"nan, No Involvement",nan,nan,Enterprise,"Java, JavaScript, CSS, C#, VB",Linux,It pays the bills,"<$20,000","nan, Android",$251-$500,Stack Overflow
United Kingdom,,30-34,11,Manufacturing,Mature Small Business (25-100),Desktop Application Developer,I run this place,"Influencer, Recommender","Hardware, Servers, Software, Consultants, Other","nan, >$150,000",Enterprise,"Java, SQL, C++",Windows 7,So happy it hurts,"$20,000 - $40,000","nan, Regular Mobile Phone, Wii, Other gaming system",<$100,Stack Overflow
United Kingdom,,25-29,41435,Healthcare,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,"nan, JavaScript, CSS, Python, SQL, C#",Windows 7,It pays the bills,"$40,000 - $60,000","nan, Android",$251-$500,Stack Overflow
United States of America,Massachusetts,20-24,41435,Other,"Fortune 1000 (1,000+)",Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software","nan, Don't know",Enterprise,"Java, JavaScript, CSS, SQL, C#, C++, C, Perl",Windows 7,It pays the bills,"$60,000 - $80,000","iPhone, Blackberry, Blu-Ray, HDTV, PS3, Xbox",$251-$500,Stack Overflow
Australia,,35-39,11,Consulting,"Other (not working, consultant, etc.)",Desktop Application Developer,I run this place,"nan, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","<$10,000",Enterprise,"nan, Delphi",Windows XP,So happy it hurts,"$80,000 - $100,000","nan, Regular Mobile Phone","$501-$1,000",Stack Overflow
Other Europe,,30-34,41310,Other,Start Up (1-25),Embedded Application Developer,It's been known to happen,"Influencer, No Involvement","Hardware, Software","nan, Don't know",Other,"nan, C",Linux,I'm not happy in my job,"$20,000 - $40,000","nan, Other Smart Phone","$501-$1,000",Stack Overflow
United States of America,Maryland,20-24,41310,Web Services,"Fortune 1000 (1,000+)",Web Application Developer,Once in a blue moon,"nan, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,"Java, JavaScript, CSS, Python, Ruby, SQL, C++",Mac OS X,It pays the bills,"$60,000 - $80,000","nan, Android, Blu-Ray, HDTV, PS3","$501-$1,000",Stack Overflow
Other Europe,,30-34,11,Advertising,Start Up (1-25),Web Application Developer,It's been known to happen,"nan, Recommender","nan, Software, Other","<$10,000",Web Platform,"nan, JavaScript, CSS, PHP, SQL",Windows 7,It pays the bills,"<$20,000","nan, Android","$501-$1,000",Stack Overflow
United Kingdom,,20-24,41310,Other,Student,Student,,"nan, No Involvement",nan,nan,Other,"nan, C++",Windows 7,I enjoy going to work,,"nan, Android","$501-$1,000",Stack Overflow
Other Europe,,35-39,11,Software Products,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Purchaser","nan, Software, User Equipment: Monitors, PCs, Laptops, Consultants","<$10,000",Web Platform,"nan, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Regular Mobile Phone, Blu-Ray, HDTV","$501-$1,000",Stack Overflow
South America,,25-29,<2,Software Products,Mid Sized (100-999),Other,It's been known to happen,"nan, No Involvement",nan,nan,Mobile,"Java, Python",Mac OS X,So happy it hurts,"<$20,000","iPhone, Android, Other netbook","$2,001-$3,000",Stack Overflow
United States of America,California,40-50,11,Software Products,Mid Sized (100-999),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,SaaS,"nan, SQL",Windows XP,I enjoy going to work,"$80,000 - $100,000","nan, Regular Mobile Phone, Nook, HDTV","$501-$1,000",Stack Overflow
Middle East,,35-39,11,Consulting,Start Up (1-25),Kernel / Driver Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Approver, Purchaser, Check Writer","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Enterprise,"nan, C, Perl",Linux,I enjoy going to work,"$80,000 - $100,000","iPhone, HDTV, Drobo","$2,001-$3,000",Stack Overflow
Other Europe,,25-29,41310,Software Products,Mid Sized (100-999),Web Application Developer,I run this place,"nan, Recommender, Approver",Hardware,"<$10,000",Enterprise,"nan, JavaScript, CSS, SQL, C#",Windows 7,It pays the bills,"$20,000 - $40,000",nan,$251-$500,Stack Overflow
United States of America,Texas,25-29,41310,Web Services,Mature Small Business (25-100),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, Consultants","nan, Don't know",Web Platform,"Java, JavaScript, CSS, SQL",Windows 7,I enjoy going to work,"$120,000 - $140,000","iPhone, HDTV, iPad, Xbox",$100-$250,Stack Overflow
United States of America,Massachusetts,25-29,41310,Healthcare,"Fortune 1000 (1,000+)",IT Staff / System Administrator,Unless it's stoopid it gets done,"Influencer, Recommender, Purchaser","Hardware, Servers, User Equipment: Monitors, PCs, Laptops","<$10,000",Enterprise,"Java, Python, C#",Windows XP,I enjoy going to work,"$40,000 - $60,000","nan, Other netbook","$501-$1,000",Server Fault
Other Europe,,30-34,41435,Web Services,"Fortune 1000 (1,000+)",Server Programmer,It's been known to happen,"nan, Recommender, Purchaser, I'm a Seller","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,"Java, C#, C++",Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Android, Kindle, Other netbook",$100-$250,Stack Overflow
Canada,,25-29,41435,Gaming,Mature Small Business (25-100),Desktop Application Developer,Unless it's stoopid it gets done,"nan, Recommender","nan, Software","nan, Don't know",,nan,,,,nan,,
United States of America,New Jersey,20-24,41310,Software Products,Mid Sized (100-999),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,SaaS,"Java, JavaScript, CSS, Python, SQL",Mac OS X,It pays the bills,"$60,000 - $80,000","iPhone, Android, Kindle, HDTV, iPad, Xbox, Wii","$1,001-$2,000",Stack Overflow
United States of America,Massachusetts,30-34,41435,Other,Mature Small Business (25-100),Embedded Application Developer,It's been known to happen,"Influencer, Recommender, Approver","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Other,"nan, Python, C++, C, Perl",Windows XP,I enjoy going to work,"$100,000 - $120,000","nan, Regular Mobile Phone",<$100,Stack Overflow
United States of America,California,30-34,11,Gaming,Mid Sized (100-999),Web Application Developer,It's been known to happen,Influencer,"nan, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Web Platform,"nan, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,"$80,000 - $100,000","nan, Android, Blu-Ray, HDTV, iPad, Xbox, Wii","$501-$1,000",Stack Overflow
United States of America,Michigan,40-50,11,Other,Mature Small Business (25-100),Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","<$10,000",Other,"nan, SQL, VB.Net",Windows 7,So happy it hurts,,"iPhone, Kindle, Blu-Ray, HDTV, Other netbook, Xbox, Wii","$1,001-$2,000",Stack Overflow
United States of America,North Carolina,40-50,11,Software Products,"Fortune 1000 (1,000+)",Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software","<$10,000",Other,"nan, C#, C++, C, SAS Datastep, JMP Scripting Language",Windows 7,I enjoy going to work,"$100,000 - $120,000","nan, Other Smart Phone, HDTV, Wii, Other gaming system, Logitech Squeezebox, Windows Phone","$2,001-$3,000",Stack Overflow
Canada,,40-50,11,Software Products,"Fortune 1000 (1,000+)",Server Programmer,Once in a blue moon,"nan, No Involvement",nan,nan,Enterprise,"nan, JavaScript, CSS, Python, SQL, C++, C",Windows XP,It pays the bills,,"iPhone, HDTV, AppleTV, iPad, Wii","$501-$1,000",Stack Overflow
United Kingdom,,25-29,41435,Retail,Mature Small Business (25-100),Desktop Application Developer,It's been known to happen,Influencer,"Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,"Java, Python, SQL, C#, Delphi",Windows 7,It pays the bills,"$60,000 - $80,000","nan, Android, Kindle, Other netbook",">$3,000",Stack Overflow
Other Europe,,20-24,41310,Other,Mid Sized (100-999),Manager of Developers or Team Leader,Unless it's stoopid it gets done,Influencer,"Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, $75,001 - $100,000",Enterprise,"nan, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,"$20,000 - $40,000","iPhone, Kindle, Blu-Ray, iPad, Xbox","$2,001-$3,000",Stack Overflow
United States of America,Ohio,30-34,41435,Consulting,Start Up (1-25),Systems Analyst,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Other,"nan, PHP, SQL",Windows 7,I enjoy going to work,"$60,000 - $80,000","iPhone, Regular Mobile Phone",$251-$500,Server Fault
United States of America,Virginia,25-29,41435,Education,"Fortune 1000 (1,000+)",Systems Analyst,It's been known to happen,"Influencer, Recommender","nan, Software, Consultants","nan, $100,001 - $150,000",SaaS,"Java, JavaScript",Windows 7,It pays the bills,"$40,000 - $60,000",nan,$100-$250,Other
United Kingdom,,30-34,11,Software Products,Start Up (1-25),Other,I run this place,"nan, Approver","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Mobile,"Java, CSS, PHP, Python, Haskell",Mac OS X,I enjoy going to work,"$80,000 - $100,000","nan, Android, Regular Mobile Phone",$251-$500,Stack Overflow
United States of America,Iowa,25-29,41435,Consulting,Mature Small Business (25-100),Web Application Developer,Once in a blue moon,"Influencer, Recommender","nan, Software","nan, Don't know",Enterprise,"Java, JavaScript, PHP, Ruby, SQL",Windows XP,It pays the bills,"$60,000 - $80,000",iPhone,"$1,001-$2,000",Stack Overflow
United States of America,California,25-29,41435,Software Products,"Fortune 1000 (1,000+)",Server Programmer,Once in a blue moon,"nan, No Involvement",nan,nan,,nan,,,,nan,,
United States of America,Connecticut,30-34,11,Healthcare,Mid Sized (100-999),Database Administrator,It's been known to happen,"Influencer, Recommender","nan, Software","<$10,000",Enterprise,"nan, SQL",Windows XP,I enjoy going to work,"$80,000 - $100,000","iPhone, Kindle, HDTV, Other netbook, Wii","$1,001-$2,000",Stack Overflow
United States of America,Oklahoma,20-24,41310,Software Products,Student,Student,It's been known to happen,"nan, No Involvement",nan,nan,Mobile,"nan, C, Objective-C",Mac OS X,It pays the bills,Student / Unemployed,"iPhone, HDTV, Other netbook",">$3,000",Stack Overflow
United States of America,Pennsylvania,30-34,11,Consulting,Mature Small Business (25-100),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software","nan, Don't know",SaaS,"Java, JavaScript, CSS, SQL, Groovy",Mac OS X,It pays the bills,"$100,000 - $120,000","iPhone, HDTV, Wii","$2,001-$3,000",Stack Overflow
Canada,,40-50,11,Manufacturing,Start Up (1-25),Desktop Application Developer,Unless it's stoopid it gets done,Influencer,"nan, Servers, Software","<$10,000",Enterprise,"Java, JavaScript, CSS, PHP, Python, SQL, C#, C, Befunge",Windows XP,I enjoy going to work,"$60,000 - $80,000","nan, Other netbook, Intellivision",<$100,Stack Overflow
South America,,20-24,41310,Other,Mid Sized (100-999),Database Administrator,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software","nan, Don't know",Enterprise,"nan, Python, SQL, C#",Linux,It pays the bills,"<$20,000","nan, Nook, HDTV, Other netbook","$501-$1,000",Stack Overflow
India,,25-29,41435,Finance / Banking,Mid Sized (100-999),Server Programmer,Once in a blue moon,"nan, No Involvement",nan,nan,Enterprise,"nan, Python, C",Linux,It pays the bills,"$20,000 - $40,000",iPhone,$251-$500,Other
Other Asia,,25-29,<2,Web Services,Mid Sized (100-999),Server Programmer,Once in a blue moon,"nan, Recommender","nan, Software","nan, Don't know",SaaS,"Java, C#",Windows XP,It pays the bills,"<$20,000","nan, Other Smart Phone, Blu-Ray",<$100,Stack Overflow
United States of America,Maine,40-50,11,Healthcare,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,"nan, Recommender","nan, Software, Consultants","nan, Don't know",Web Platform,"nan, JavaScript, CSS, SQL, VB",Windows XP,I enjoy going to work,"$80,000 - $100,000","iPhone, Blackberry, HDTV, Other netbook, Xbox, Wii","$501-$1,000",Stack Overflow
United Kingdom,,30-34,11,Education,Student,Student,It's been known to happen,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Other,"Java, SQL, C#",Windows 7,I enjoy going to work,Student / Unemployed,"nan, Android, Other Smart Phone, Blu-Ray, HDTV",">$3,000",Stack Overflow
France,,20-24,41310,Web Services,Start Up (1-25),IT Staff / System Administrator,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, User Equipment: Monitors, PCs, Laptops","<$10,000",SaaS,"nan, Python",Linux,I enjoy going to work,"$20,000 - $40,000","nan, Blackberry, Wii","$1,001-$2,000",Server Fault
United States of America,Oklahoma,35-39,11,Consulting,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, $25,001 - $40,000",Web Platform,"nan, SQL, C#, Silverlight",Windows 7,So happy it hurts,">$140,000","nan, Other Smart Phone, Blu-Ray, HDTV, Xbox, Wii","$1,001-$2,000",Stack Overflow
Russia,,20-24,41310,Software Products,Mid Sized (100-999),Server Programmer,It's been known to happen,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,"nan, C#, C++, C",Windows 7,I enjoy going to work,"$20,000 - $40,000","iPhone, Android, Blackberry, Regular Mobile Phone, iPad, Other netbook, PS3, Xbox, Wii",$251-$500,Stack Overflow
Other Europe,,35-39,11,Software Products,Start Up (1-25),Server Programmer,Unless it's stoopid it gets done,"nan, Approver, Check Writer","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Other","nan, $75,001 - $100,000",Other,"nan, SQL, C#, C++, C, Assembly",Windows 7,So happy it hurts,">$140,000","nan, Regular Mobile Phone, Kindle, HDTV, Xbox",$251-$500,Stack Overflow
United States of America,Missouri,30-34,11,Healthcare,"Fortune 1000 (1,000+)",Server Programmer,It's been known to happen,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,"Java, C#, C++, C, Groovy",Windows Vista,I enjoy going to work,"$120,000 - $140,000","nan, Blackberry, HDTV, Wii, iPod, Sony Cybershot camera, Dell PC, Macbook Pro, Bose QuietComfort 15 headphones, DVD Player, Super Nintendo Entertainment System","$1,001-$2,000",Stack Overflow
United Kingdom,,40-50,11,Software Products,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,Unless it's stoopid it gets done,Influencer,"Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, >$150,000",Enterprise,"nan, SQL, C#, Perl",Windows 7,It pays the bills,,"nan, Android, Kindle","$501-$1,000",Stack Overflow
United States of America,Minnesota,35-39,11,Foundation / Non-Profit,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software","nan, Don't know",Enterprise,"nan, JavaScript, CSS, PHP, SQL, Objective-C",Mac OS X,I enjoy going to work,"$80,000 - $100,000",iPhone,$251-$500,Stack Overflow
Other Europe,,25-29,41435,Other,"Fortune 1000 (1,000+)",IT Staff / System Administrator,It's been known to happen,"nan, No Involvement",nan,nan,Other,"nan, CSS, PHP, AutoIt",Windows XP,It pays the bills,"<$20,000","nan, Android, HDTV","$501-$1,000",Other
United States of America,Wisconsin,30-34,41435,Healthcare,"Fortune 1000 (1,000+)",Desktop Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,"nan, C#, VB 6",Windows 7,I enjoy going to work,"$120,000 - $140,000","nan, Blu-Ray, HDTV, PS3, Tivo","$501-$1,000",Other
United States of America,South Dakota,25-29,41310,Web Services,Mid Sized (100-999),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,"nan, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Blu-Ray, HDTV, PS3, Xbox, Wii","$2,001-$3,000",Other
United States of America,Virginia,25-29,41310,Consulting,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"Influencer, No Involvement","nan, Software","nan, Don't know",Enterprise,"Java, SQL",Windows XP,It pays the bills,"$80,000 - $100,000","nan, Android, Wii","$501-$1,000",Stack Overflow
United States of America,Nevada,40-50,11,Software Products,Mature Small Business (25-100),Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,"Java, Ruby, C++, C, Lisp",Windows 7,I enjoy going to work,"$100,000 - $120,000","iPhone, Android","$501-$1,000",Stack Overflow
Other Europe,,25-29,11,Software Products,Start Up (1-25),Desktop Application Developer,It's been known to happen,Influencer,Hardware,"<$10,000",Other,"nan, JavaScript, CSS, C++, C",Windows XP,I enjoy going to work,"$120,000 - $140,000","nan, Android, HDTV, Xbox, Other gaming system",$251-$500,Stack Overflow
Mexico,,25-29,41310,Finance / Banking,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,SaaS,"nan, C#",Windows 7,It pays the bills,"$20,000 - $40,000","iPhone, HDTV, Xbox","$1,001-$2,000",Stack Overflow
France,,30-34,41435,Other,"Fortune 1000 (1,000+)",Server Programmer,It's been known to happen,Influencer,"nan, Software","nan, Don't know",Web Platform,"Java, CSS, SQL, Groovy",Windows XP,It pays the bills,"$80,000 - $100,000","nan, Regular Mobile Phone, GPS",$100-$250,Stack Overflow
India,,,,,,,,nan,nan,nan,,nan,,,,nan,,
United Kingdom,,25-29,41310,Consulting,,,,nan,nan,nan,,nan,,,,nan,,
United States of America,New York,20-24,41435,Finance / Banking,"Fortune 1000 (1,000+)",Desktop Application Developer,Once in a blue moon,"nan, No Involvement",nan,nan,Enterprise,"Java, Python, SQL, C#",Mac OS X,It pays the bills,"$80,000 - $100,000","iPhone, Blu-Ray, HDTV, AppleTV, iPad, PS3, Wii","$1,001-$2,000",
South America,,25-29,41435,Web Services,Start Up (1-25),Web Application Developer,Once in a blue moon,"Influencer, Recommender","nan, Software","nan, Don't know",Web Platform,"Java, CSS, PHP, Python, Ruby, SQL",Mac OS X,It pays the bills,"$20,000 - $40,000","iPhone, Blu-Ray, HDTV, Xbox","$2,001-$3,000",Stack Overflow
