Year,Which languages are you proficient in?,What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you work in?,Which best describes the size of your company?,Which of the following best describes your occupation?,How likely is it that a recommendation you make will be acted upon?,What is your involvement in purchasing? You can choose more than 1.,What types of purchases are you involved in?,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2011?",What type of project are you developing?,What operating system do you use the most?,Please rate your job/career satisfaction,"Including bonus, what is your annual compensation in USD?",Which technology products do you own? (You can choose more than one),"In the last 12 months, how much money have you spent on personal technology-related purchases? ",Which of our sites do you frequent most?
2011,"nan, JavaScript, CSS, SQL, VB, COBOL",United States of America,North Carolina,40-50,11,Consulting,"Other (not working, consultant, etc.)","Executive (VP of Eng, CTO, CIO, etc.)",I run this place,"nan, Recommender, Approver, Purchaser, Check Writer","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Web Platform,Windows 7,So happy it hurts,Student / Unemployed,"iPhone, HDTV, Other netbook, Wii","$501-$1,000",Server Fault
2011,"nan, SQL, C#",United States of America,Texas,30-34,11,Finance / Banking,Start Up (1-25),Desktop Application Developer,Unless it's stoopid it gets done,"nan, Recommender","nan, Software","nan, Don't know",Enterprise,Windows 7,So happy it hurts,"$100,000 - $120,000","nan, Regular Mobile Phone",<$100,Stack Overflow
2011,"Java, C++, C",United States of America,New York,25-29,41435,Software Products,"Fortune 1000 (1,000+)",Embedded Application Developer,It's been known to happen,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, >$150,000",Other,Windows XP,I enjoy going to work,"$60,000 - $80,000","nan, Android, HDTV, Other netbook, Wii","$1,001-$2,000",Stack Overflow
2011,"nan, JavaScript, CSS, SQL, C#",Other Europe,,25-29,41435,Other,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Approver","nan, Software","nan, Don't know",Other,Windows 7,I enjoy going to work,"$20,000 - $40,000","nan, Other Smart Phone, Other netbook, HP TouchSmart TM2","$1,001-$2,000",Stack Overflow
2011,"Java, Python, SQL, Perl",United States of America,Illinois,35-39,11,Education,"Fortune 1000 (1,000+)",Web Application Developer,Unless it's stoopid it gets done,"nan, Recommender, No Involvement","nan, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, Don't know",Web Platform,Mac OS X,I enjoy going to work,"$60,000 - $80,000","nan, Android, Blu-Ray, HDTV, Wii",$251-$500,Stack Overflow
2011,"nan, JavaScript, CSS, PHP",United States of America,Georgia,20-24,41310,Web Services,Mature Small Business (25-100),Server Programmer,It's been known to happen,"nan, No Involvement",nan,nan,SaaS,Linux,I enjoy going to work,"$60,000 - $80,000","iPhone, Blu-Ray, HDTV, Wii","$1,001-$2,000",Stack Overflow
2011,nan,United States of America,Kansas,25-29,41310,Software Products,,,,nan,nan,nan,,,,,nan,,
2011,"nan, JavaScript, SQL, C++, C, Perl, lua",United States of America,Indiana,30-34,11,Software Products,Start Up (1-25),IT Staff / System Administrator,It's been known to happen,"nan, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops, Other","nan, Don't know",Web Platform,Linux,I enjoy going to work,"$100,000 - $120,000","nan, Android, Kindle, HDTV, iPad, Other netbook",">$3,000",Server Fault
2011,"Java, CSS, SQL, C#, C++",United States of America,Texas,25-29,41435,Software Products,Mature Small Business (25-100),Desktop Application Developer,Unless it's stoopid it gets done,"nan, Recommender","Hardware, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Mobile,Windows 7,So happy it hurts,"$60,000 - $80,000","iPhone, HDTV","$501-$1,000",Stack Overflow
2011,"nan, SQL, C#, C++",Canada,,35-39,11,Software Products,Mature Small Business (25-100),Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,Windows 7,It pays the bills,"$80,000 - $100,000","nan, HDTV","$1,001-$2,000",Stack Overflow
2011,"Java, JavaScript, CSS, PHP, Python, Ruby, SQL, C++, C, Perl, bash tcl objective-c",Other Europe,,25-29,11,Other,"Fortune 1000 (1,000+)",Server Programmer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Other,Linux,It pays the bills,"$40,000 - $60,000","nan, Android, Regular Mobile Phone, Blu-Ray, HDTV, Other netbook, PS3, Wii","$501-$1,000",Stack Overflow
2011,"Java, JavaScript, CSS, SQL",Other Europe,,25-29,41310,Finance / Banking,"Fortune 1000 (1,000+)",Web Application Developer,Once in a blue moon,"nan, No Involvement",nan,nan,Enterprise,Windows 7,It pays the bills,"$20,000 - $40,000","nan, HDTV, Xbox","$501-$1,000",Stack Overflow
2011,"nan, JavaScript, SQL, C#",United States of America,Texas,30-34,11,Web Services,Mid Sized (100-999),Manager of Developers or Team Leader,It's been known to happen,Influencer,"nan, Software","<$10,000",SaaS,Windows 7,I enjoy going to work,"$100,000 - $120,000","iPhone, Kindle, Nook, HDTV, Other netbook, PS3, Xbox, Wii","$1,001-$2,000",Stack Overflow
2011,"Java, JavaScript, CSS, Python, SQL, C#",United States of America,Georgia,30-34,41435,Software Products,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Servers, Software","nan, Don't know",SaaS,Windows XP,It pays the bills,"$100,000 - $120,000","nan, Android, Nook, HDTV, Xbox, Wii",$251-$500,Stack Overflow
2011,"nan, CSS, PHP, Python, C, awk",South America,,25-29,11,Software Products,Mature Small Business (25-100),Other,It's been known to happen,Influencer,"Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Other,Linux,I enjoy going to work,"<$20,000","nan, Regular Mobile Phone, HDTV",$251-$500,None
2011,"Java, JavaScript, CSS, Ruby, SQL, Objective-C",United States of America,Pennsylvania,30-34,11,Software Products,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,Mac OS X,I'm not happy in my job,"$100,000 - $120,000","iPhone, HDTV, PS3",$100-$250,Stack Overflow
2011,"Java, C#",Middle East,,30-34,41310,Software Products,Mature Small Business (25-100),Desktop Application Developer,It's been known to happen,"nan, Recommender","nan, Software","nan, Don't know",Enterprise,Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Android",$251-$500,Stack Overflow
2011,"Java, PHP",United States of America,Virginia,25-29,41435,Web Services,Start Up (1-25),Web Application Developer,It's been known to happen,"nan, Recommender","nan, Other","nan, Don't know",Web Platform,Mac OS X,,,nan,,
2011,"nan, CSS, SQL, C++, C",Canada,,30-34,41435,Other,Mature Small Business (25-100),Embedded Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops, Consultants","<$10,000",Other,Linux,I enjoy going to work,"$60,000 - $80,000","nan, Android, Wii, xbmc",$251-$500,Other
2011,"nan, Python, C++, C",United States of America,Illinois,40-50,11,Gaming,Mid Sized (100-999),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software","nan, $75,001 - $100,000",Other,Windows 7,I'm not happy in my job,">$140,000","nan, Blu-Ray, HDTV, PS3, Xbox, Wii, Other gaming system","$501-$1,000",Programmers Stack Exchange
2011,"nan, JavaScript, CSS, PHP",United States of America,Vermont,30-34,41435,Education,"Fortune 1000 (1,000+)",Web Application Developer,Unless it's stoopid it gets done,Influencer,"nan, Software","nan, Don't know",Web Platform,Mac OS X,I enjoy going to work,"$40,000 - $60,000","nan, Regular Mobile Phone, iPod Touch","$1,001-$2,000",Stack Overflow
2011,"nan, SQL, C#",United States of America,Tennessee,25-29,41310,Manufacturing,Mature Small Business (25-100),Embedded Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Other,Windows XP,I enjoy going to work,"$60,000 - $80,000","nan, Android, Wii","$501-$1,000",Stack Overflow
2011,"nan, CSS, SQL, C#, FoxPro",United Kingdom,,40-50,11,Other,Mid Sized (100-999),Desktop Application Developer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Enterprise,Mac OS X,I enjoy going to work,"$40,000 - $60,000","iPhone, Blu-Ray, HDTV, AppleTV, iPad, Wii","$1,001-$2,000",Stack Overflow
2011,"nan, JavaScript, Ruby",United States of America,California,25-29,41435,Web Services,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",SaaS,Mac OS X,I enjoy going to work,"$100,000 - $120,000","nan, Regular Mobile Phone, HDTV, Wii","$1,001-$2,000",Stack Overflow
2011,"nan, JavaScript, CSS, Python",South America,,20-24,41310,Software Products,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Enterprise,Linux,I enjoy going to work,"<$20,000","nan, Other Smart Phone",">$3,000",Stack Overflow
2011,"Java, JavaScript, CSS, SQL",United States of America,Washington,30-34,11,Software Products,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,Windows XP,I enjoy going to work,"$80,000 - $100,000","iPhone, Wii",$100-$250,Stack Overflow
2011,"nan, C#",Other Europe,,40-50,11,Software Products,Mature Small Business (25-100),Manager of Developers or Team Leader,Unless it's stoopid it gets done,Influencer,"Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Other,Windows 7,I enjoy going to work,"$80,000 - $100,000","iPhone, AppleTV, iPad, Wii","$501-$1,000",Stack Overflow
2011,nan,United States of America,California,,,,,,,nan,nan,nan,,,,,nan,,
2011,"nan, JavaScript, CSS, PHP, SQL, Perl",United States of America,Maryland,40-50,11,Consulting,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender, Approver","nan, Software, Consultants","nan, $10,001 - $25,000",Web Platform,Linux,I enjoy going to work,"$100,000 - $120,000","nan, Android, HDTV, Wii","$501-$1,000",Stack Overflow
2011,"nan, JavaScript, C#, C++, Perl, Fortran",United Kingdom,,40-50,11,Software Products,"Fortune 1000 (1,000+)",Desktop Application Developer,It's been known to happen,"nan, Recommender","nan, Software","nan, Don't know",Enterprise,Windows XP,I enjoy going to work,"$60,000 - $80,000","nan, Android, HDTV, Wii",$100-$250,Stack Overflow
2011,"nan, CSS, PHP, Python, SQL, C",Other Europe,,25-29,41435,Other,Mature Small Business (25-100),Embedded Application Developer,Unless it's stoopid it gets done,Influencer,"nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Other,Linux,I enjoy going to work,"$20,000 - $40,000","nan, Regular Mobile Phone","$501-$1,000",Other
2011,"nan, JavaScript, CSS, SQL, C#",United States of America,New York,25-29,41435,Software Products,Start Up (1-25),Desktop Application Developer,It's been known to happen,"Influencer, Recommender, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, $10,001 - $25,000",Enterprise,Windows 7,So happy it hurts,"$80,000 - $100,000","nan, Blackberry","$1,001-$2,000",Stack Overflow
2011,"nan, JavaScript, CSS, SQL, C#",United Kingdom,,25-29,41310,Software Products,"Other (not working, consultant, etc.)",Web Application Developer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Web Platform,Windows 7,,,nan,,
2011,"nan, JavaScript, SQL, C#",United States of America,Wisconsin,40-50,11,Consulting,Start Up (1-25),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, Consultants","nan, Don't know",Other,Windows 7,I enjoy going to work,"$100,000 - $120,000","nan, Android, Regular Mobile Phone, HDTV, Wii",,Stack Overflow
2011,"Java, C++, C",France,,25-29,11,Education,Mid Sized (100-999),Desktop Application Developer,It's been known to happen,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Other,Linux,I enjoy going to work,"$20,000 - $40,000","nan, Regular Mobile Phone",$100-$250,Stack Overflow
2011,"Java, JavaScript, CSS, PHP, Python, SQL, C#, C++, C",United States of America,Michigan,20-24,41435,Education,Student,Student,Not in a million years,"nan, No Involvement",nan,nan,Other,Linux,I enjoy going to work,Student / Unemployed,"nan, Regular Mobile Phone, HDTV","$1,001-$2,000",Stack Overflow
2011,"nan, CSS, SQL, C#",United States of America,Arizona,20-24,41310,Manufacturing,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Web Platform,Windows XP,It pays the bills,"$40,000 - $60,000","nan, iPod Touch",$251-$500,Stack Overflow
2011,"nan, SQL, C#",United States of America,New Jersey,40-50,11,Finance / Banking,"Fortune 1000 (1,000+)",Database Administrator,Unless it's stoopid it gets done,"Influencer, Recommender, Approver","Hardware, Servers, Software, Consultants","nan, >$150,000",Enterprise,Windows 7,So happy it hurts,"$120,000 - $140,000","nan, Android, Blackberry, Nook","$501-$1,000",Stack Overflow
2011,"nan, JavaScript, SQL, C#",Canada,,30-34,41310,Consulting,"Fortune 1000 (1,000+)",Desktop Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,Windows XP,It pays the bills,"$60,000 - $80,000","iPhone, Blu-Ray, HDTV",$251-$500,Stack Overflow
2011,"Java, JavaScript, CSS, PHP, C#",France,,20-24,41310,Software Products,Start Up (1-25),Server Programmer,It's been known to happen,"nan, No Involvement",nan,nan,Mobile,Windows 7,I enjoy going to work,Student / Unemployed,nan,"$501-$1,000",Stack Overflow
2011,"nan, JavaScript, CSS, SQL, C#, XML, ActionScript",United Kingdom,,25-29,41435,Advertising,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"Influencer, Recommender","Hardware, Software","nan, $100,001 - $150,000",Web Platform,Windows 7,It pays the bills,"$60,000 - $80,000","nan, Android",$100-$250,Stack Overflow
2011,"nan, Python, SQL, C++",United States of America,Illinois,25-29,41310,Finance / Banking,Mid Sized (100-999),Server Programmer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Enterprise,Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Android, HDTV, Wii",$251-$500,Stack Overflow
2011,"nan, JavaScript, CSS, PHP, SQL, C#",United States of America,California,25-29,41435,Web Services,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Web Platform,Windows 7,It pays the bills,"$40,000 - $60,000","nan, Regular Mobile Phone, HDTV",$251-$500,Stack Overflow
2011,"Java, JavaScript, CSS, PHP",Canada,,25-29,41310,Software Products,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"nan, Recommender","nan, Software","nan, Don't know",Enterprise,Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Blackberry, HDTV, Xbox",$251-$500,Stack Overflow
2011,"nan, JavaScript, Python, C, Objective-C",United States of America,Utah,< 20,41435,Education,Start Up (1-25),Student,Once in a blue moon,"nan, No Involvement",nan,nan,Mobile,Mac OS X,So happy it hurts,,iPhone,$100-$250,Stack Overflow
2011,"Java, CSS, PHP, C#",United Kingdom,,25-29,41310,Software Products,Mature Small Business (25-100),Desktop Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software, Consultants","nan, Don't know",Web Platform,Windows 7,I enjoy going to work,"$40,000 - $60,000","iPhone, HDTV, PS3, Wii","$501-$1,000",Stack Overflow
2011,nan,United Kingdom,,,,,,,,nan,nan,nan,,,,,nan,,
2011,"Java, SQL, C#",United States of America,Ohio,35-39,11,Web Services,Mature Small Business (25-100),Desktop Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software","<$10,000",Other,Windows 7,It pays the bills,"$60,000 - $80,000","nan, Android, Kindle, HDTV, Xbox",<$100,Stack Overflow
2011,"nan, C++, C, Tcl",United States of America,Oregon,35-39,11,Software Products,"Fortune 1000 (1,000+)",Desktop Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,Linux,I enjoy going to work,"$100,000 - $120,000",nan,$100-$250,Stack Overflow
2011,"Java, Python, SQL",Netherlands,,20-24,41310,Software Products,Mid Sized (100-999),Web Application Developer,It's been known to happen,"Influencer, Purchaser","nan, Other","nan, Don't know",Enterprise,Windows 7,I enjoy going to work,"$20,000 - $40,000","nan, Regular Mobile Phone","$1,001-$2,000",Stack Overflow
2011,"Java, Python, SQL",United States of America,Massachusetts,35-39,11,Software Products,"Fortune 1000 (1,000+)",Server Programmer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Enterprise,Linux,So happy it hurts,,"nan, Android, Nook, Blu-Ray, HDTV, Other netbook, PS3, Wii","$501-$1,000",Stack Overflow
2011,"nan, JavaScript, CSS, PHP, SQL, C#, C++, C, Objective C",France,,20-24,41310,Software Products,Start Up (1-25),Embedded Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Mobile,Mac OS X,I enjoy going to work,"$20,000 - $40,000","iPhone, Other netbook",<$100,Stack Overflow
2011,"Java, JavaScript, CSS, Ruby, SQL",United States of America,New York,20-24,41435,Other,Mid Sized (100-999),Web Application Developer,Not in a million years,"nan, No Involvement",nan,nan,Web Platform,Linux,I'm not happy in my job,"$40,000 - $60,000","nan, Android, Blu-Ray, HDTV, Other netbook, PS3, Wii","$2,001-$3,000",Programmers Stack Exchange
2011,"nan, JavaScript, SQL, C#",Middle East,,25-29,41310,Consulting,"Other (not working, consultant, etc.)",Web Application Developer,Not in a million years,"nan, No Involvement",nan,nan,Other,Windows 7,FML,Student / Unemployed,"iPhone, iPad","$2,001-$3,000",Stack Overflow
2011,"nan, PHP, Ruby, C#, C++, C",United States of America,Connecticut,30-34,11,Finance / Banking,"Fortune 1000 (1,000+)",Desktop Application Developer,It's been known to happen,"nan, Recommender","Hardware, Software","nan, Don't know",Enterprise,Windows XP,I enjoy going to work,"$100,000 - $120,000","iPhone, HDTV","$1,001-$2,000",Stack Overflow
2011,"nan, JavaScript, CSS, Python, Ruby, C#, C",Other Europe,,20-24,41310,Software Products,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,Linux,I enjoy going to work,"$20,000 - $40,000","nan, Android, Other netbook, Other gaming system","$501-$1,000",Stack Overflow
2011,"nan, JavaScript, CSS, SQL, C#, RPG, LANSA",United States of America,Florida,30-34,11,Finance / Banking,Mid Sized (100-999),Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software, Consultants","nan, Don't know",Enterprise,Windows 7,I enjoy going to work,"$60,000 - $80,000",iPhone,"$1,001-$2,000",Stack Overflow
2011,"Java, Python, C++",United Kingdom,,40-50,11,Finance / Banking,"Other (not working, consultant, etc.)",Server Programmer,It's been known to happen,"Influencer, Recommender","nan, Software","nan, Don't know",Enterprise,Windows XP,I enjoy going to work,Student / Unemployed,"nan, Regular Mobile Phone, HDTV","$501-$1,000",Stack Overflow
2011,"nan, JavaScript, CSS, Python, Ruby, SQL, C++, C",Netherlands,,20-24,41435,Other,Start Up (1-25),Server Programmer,Once in a blue moon,"Influencer, Recommender","nan, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,Linux,I'm not happy in my job,"$40,000 - $60,000","iPhone, Regular Mobile Phone, HDTV, Wii","$501-$1,000",Stack Overflow
2011,"nan, SQL, C#, C++, C",United States of America,Florida,51-60,11,Finance / Banking,Mature Small Business (25-100),"Executive (VP of Eng, CTO, CIO, etc.)",Unless it's stoopid it gets done,"nan, Approver, Check Writer","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","nan, $25,001 - $40,000",Web Platform,Windows 7,I enjoy going to work,"$120,000 - $140,000","iPhone, Kindle, HDTV, AppleTV, iPad, Wii",">$3,000",Stack Overflow
2011,"Java, JavaScript, CSS, Ruby, SQL",United States of America,Connecticut,40-50,11,Education,"Fortune 1000 (1,000+)",Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, Consultants","nan, Don't know",Enterprise,Windows XP,I enjoy going to work,"$80,000 - $100,000","nan, Android",$100-$250,Stack Overflow
2011,"nan, JavaScript, CSS, PHP, Python, SQL",United States of America,Virginia,20-24,41310,Advertising,Mid Sized (100-999),Systems Analyst,It's been known to happen,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops, Other","nan, Don't know",SaaS,Windows XP,It pays the bills,"$40,000 - $60,000","nan, Regular Mobile Phone",<$100,Stack Overflow
2011,"nan, JavaScript, CSS, SQL, C#, C",United States of America,Utah,25-29,41435,Web Services,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",SaaS,Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Android, Blu-Ray, Other netbook, Xbox, Wii, cr-48 bitches.","$501-$1,000",Stack Overflow
2011,"Java, PHP, SQL, C#",Middle East,,30-34,41435,Education,Start Up (1-25),Desktop Application Developer,I run this place,"nan, Approver, Check Writer","Hardware, Software","<$10,000",Mobile,Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Regular Mobile Phone","$501-$1,000",Stack Overflow
2011,"nan, JavaScript, C#, vb.net",United Kingdom,,30-34,41310,Other,Start Up (1-25),Web Application Developer,It's been known to happen,"Influencer, Recommender, Purchaser, Check Writer","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Web Platform,Windows 7,I enjoy going to work,,iPhone,"$1,001-$2,000",Stack Overflow
2011,"Java, JavaScript, C, Perl",United States of America,Texas,40-50,11,Finance / Banking,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,It's been known to happen,"Influencer, Recommender, Purchaser","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, >$150,000",Enterprise,Mac OS X,I enjoy going to work,"$100,000 - $120,000","nan, Android, Kindle, Blu-Ray, HDTV, iPad, Xbox, Wii",">$3,000",Other
2011,"nan, CSS, Python, SQL, C#, XML, XSLT",Other Europe,,20-24,<2,Consulting,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,Linux,So happy it hurts,,"nan, Blackberry, Blu-Ray, HDTV, Other netbook, PS3","$1,001-$2,000",Stack Overflow
2011,"nan, Ruby, C#",Other Europe,,20-24,41310,Other,Mature Small Business (25-100),Other,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Other","<$10,000",Other,Windows 7,I enjoy going to work,"<$20,000","nan, Android, Blackberry",$251-$500,Stack Overflow
2011,nan,Other Europe,,,,,,,,nan,nan,nan,,,,,nan,,
2011,"Java, CSS, PHP, SQL, Perl",United States of America,Colorado,30-34,11,Manufacturing,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software","nan, Don't know",Mobile,Linux,It pays the bills,"$100,000 - $120,000","nan, Blackberry, Blu-Ray, HDTV, Wii","$1,001-$2,000",Other
2011,"Java, JavaScript, CSS, SQL, C#, Delphi",Canada,,25-29,41435,Other,Mature Small Business (25-100),Other,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software","nan, Don't know",Enterprise,Windows Vista,It pays the bills,"$80,000 - $100,000","nan, Android, Other Smart Phone, HDTV, Other gaming system","$501-$1,000",Stack Overflow
2011,"nan, CSS, Python, SQL, C#",United States of America,California,30-34,11,Consulting,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,Windows 7,I'm not happy in my job,"$80,000 - $100,000","nan, Android, Blu-Ray, Wii",<$100,Stack Overflow
2011,"Java, C#",South America,,30-34,11,Software Products,"Other (not working, consultant, etc.)",Server Programmer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Enterprise,Mac OS X,I enjoy going to work,"$40,000 - $60,000","nan, Android, Other gaming system",,Stack Overflow
2011,"Java, Python, SQL, C++, C",Other Europe,,30-34,11,Software Products,Mature Small Business (25-100),Desktop Application Developer,I run this place,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, $10,001 - $25,000",Enterprise,Windows 7,I enjoy going to work,"$40,000 - $60,000","iPhone, HDTV, AppleTV",$251-$500,Stack Overflow
2011,"Java, JavaScript, CSS, Python, SQL",United States of America,California,20-24,41310,Software Products,Start Up (1-25),Web Application Developer,It's been known to happen,"nan, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Enterprise,Windows XP,I enjoy going to work,"$40,000 - $60,000","nan, Android, Wii, Google TV",$100-$250,Stack Overflow
2011,"Java, Python, Ruby, Perl",Other Europe,,30-34,11,Consulting,Start Up (1-25),Server Programmer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software","<$10,000",Enterprise,Linux,I enjoy going to work,"$60,000 - $80,000","nan, Other Smart Phone, iPad, Wii",<$100,Stack Overflow
2011,"nan, Python, Ruby, C, Perl, z/Assembler",United Kingdom,,>60,11,Consulting,"Other (not working, consultant, etc.)",Other,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,Windows Vista,I enjoy going to work,"$120,000 - $140,000","nan, Android, Blu-Ray","$501-$1,000",Other
2011,"nan, JavaScript, CSS, SQL, C#",United States of America,Michigan,25-29,41435,Web Services,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,Windows 7,So happy it hurts,"$40,000 - $60,000","nan, Android, Other Smart Phone, Wii",<$100,Stack Overflow
2011,"nan, JavaScript, CSS, SQL, C#, C",Canada,,25-29,41435,Software Products,Mid Sized (100-999),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"nan, Recommender","nan, Software","nan, Don't know",Enterprise,Windows 7,I enjoy going to work,,"iPhone, Kindle, HDTV, Xbox","$2,001-$3,000",Stack Overflow
2011,"nan, JavaScript, CSS, SQL, C#",Canada,,25-29,41435,Web Services,Start Up (1-25),Web Application Developer,It's been known to happen,"nan, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,Windows 7,It pays the bills,"$40,000 - $60,000","nan, Android, HDTV, Xbox, Wii, Other gaming system","$1,001-$2,000",Programmers Stack Exchange
2011,"Java, JavaScript, Python, Ruby",United States of America,Pennsylvania,25-29,41435,Other,Student,Student,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Other,Mac OS X,I enjoy going to work,Student / Unemployed,"iPhone, iPad","$1,001-$2,000",Stack Overflow
2011,"nan, C, Object Pascal (Delphi)",South America,,30-34,41435,Manufacturing,Mid Sized (100-999),Embedded Application Developer,Once in a blue moon,Influencer,"nan, Software","nan, Don't know",Other,Windows Vista,It pays the bills,"$20,000 - $40,000","nan, Regular Mobile Phone, Kindle, iPad, Other gaming system","$1,001-$2,000",Other
2011,"nan, JavaScript, CSS, PHP, SQL, C#, Perl",United States of America,Arizona,30-34,41435,Software Products,Mature Small Business (25-100),Web Application Developer,Once in a blue moon,"nan, No Involvement",nan,nan,Web Platform,Windows 7,So happy it hurts,"$20,000 - $40,000","nan, Regular Mobile Phone, HDTV, Wii, Other gaming system, Garmin GPS, Zune HD",$251-$500,Other
2011,"nan, PHP, C#",United Kingdom,,25-29,41435,Foundation / Non-Profit,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,"nan, Recommender, No Involvement","Hardware, Servers, Software","nan, Don't know",Web Platform,Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Android, Xbox",<$100,Other
